Altium Designer Pick and Place Locations
D:\learning\coding\git\github\2418driver\Project Outputs for 2418driver\Pick Place for 2418driver.csv

========================================================================================================================
File Design Information:

Date:       20/04/20
Time:       23:57
Revision:   9e82e7c2c3164e91924befadacfbf56a093d5f4e
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description","Ref-X(mil)","Ref-Y(mil)","Pad-X(mil)","Pad-Y(mil)"
"C32","18pF/16V","TopLayer","C0402","1017.622","-78.000","90","Capacitor","1017.622","-78.000","1017.622","-98.000"
"C31","18pF/16V","TopLayer","C0402","737.622","-140.000","270","Capacitor","737.622","-140.000","737.622","-120.000"
"C30","100nF/16V","TopLayer","C0402","789.001","-263.999","270","Capacitor","789.001","-263.999","789.001","-243.999"
"C29","100nF/16V","TopLayer","C0402","572.000","-641.000","270","Capacitor","572.000","-641.000","572.000","-621.000"
"C28","100nF/16V","TopLayer","C0402","998.000","-311.000","180","Capacitor","998.000","-311.000","1018.000","-311.000"
"C27","100nF/16V","TopLayer","C0402","694.000","-140.000","270","","694.000","-140.000","694.000","-120.000"
"C26","100nF/16V","TopLayer","C0402","933.000","-789.000","360","Capacitor","933.000","-789.000","913.000","-789.000"
"C25","100nF/16V","TopLayer","C0402","1094.000","-432.000","90","Capacitor","1094.000","-432.000","1094.000","-452.000"
"C23","100nF/16V","TopLayer","C0402","750.000","-264.000","90","Capacitor","750.000","-264.000","750.000","-284.000"
"C22","47uF/50V","TopLayer","C1210_N","-96.000","966.000","360","Capacitor","-95.000","953.000","-153.087","966.000"
"C21","100nF/16V","BottomLayer","C0402","1208.000","71.000","90","","1208.000","71.000","1208.000","51.000"
"C20","10nF/16V","TopLayer","C0402","711.000","-264.000","90","Capacitor","711.000","-264.000","711.000","-284.000"
"C19","100nF/16V","TopLayer","C0402","89.094","-666.910","90","Capacitor","89.094","-666.910","89.094","-686.910"
"C18","2.2nF/16V","TopLayer","C0402","-683.409","-702.205","360","Capacitor","-683.409","-702.205","-703.409","-702.205"
"C17","10nF/16V","TopLayer","C0402","621.000","-353.000","90","Capacitor","621.000","-353.000","621.000","-373.000"
"C16","100nF/16V","TopLayer","C0402","-120.000","-647.000","180","Capacitor","-120.000","-647.000","-100.000","-647.000"
"C15","2.2nF/16V","TopLayer","C0402","-567.404","-1027.151","90","Capacitor","-567.404","-1027.151","-567.404","-1047.151"
"C14","2.2nF/16V","TopLayer","C0402","-297.000","1029.000","270","Capacitor","-297.000","1029.000","-297.000","1049.000"
"C13","2.2nF/16V","TopLayer","C0402","-660.000","964.000","360","Capacitor","-660.000","964.000","-680.000","964.000"
"C12","10uF/50V","TopLayer","C1206","-918.000","-27.000","90","Capacitor","-918.000","-27.000","-918.000","-86.000"
"C11","10uF/50V","TopLayer","C1206","-496.000","-798.000","180","Capacitor","-496.000","-798.000","-437.000","-798.000"
"C10","10nF/16V","TopLayer","C0402","672.000","-264.000","90","Capacitor","672.000","-264.000","672.000","-284.000"
"C9","100nF/16V","TopLayer","C0402","-979.212","-683.205","90","Capacitor","-979.212","-683.205","-979.212","-703.205"
"C8","2.2nF/16V","TopLayer","C0402","-1076.212","224.798","0","Capacitor","-1076.212","224.798","-1096.212","224.798"
"C7","100nF/16V","BottomLayer","C0402","-833.000","-393.000","360","Capacitor","-833.000","-393.000","-853.000","-393.000"
"C6","2.2nF/16V","TopLayer","C0402","-1131.521","-156.332","90","Capacitor","-1131.521","-156.332","-1131.521","-176.332"
"C5","100nF/16V","BottomLayer","C0402","-914.000","-393.000","360","Capacitor","-914.000","-393.000","-934.000","-393.000"
"C4","100nF/16V","BottomLayer","C0402","235.094","-770.000","360","Capacitor","235.094","-770.000","215.094","-770.000"
"C3","100nF/16V","BottomLayer","C0402","326.094","-708.000","360","Capacitor","326.094","-708.000","306.094","-708.000"
"C1","100nF/16V","BottomLayer","C0402","-996.000","-393.000","360","Capacitor","-996.000","-393.000","-1016.000","-393.000"
